City,population,area,rests_count
Amsterdam,872680,219,3598
Athens,664046, 39,2239
Barcelona,1620343,101,8577
Berlin,3769495,891,6005
Bratislava,432864,367,1016
Brussels,1208542,162,2344
Budapest,1752286,525,2688
Copenhagen,794128,179,1981
Dublin,554554,115,2054
Edinburgh, 512150,102,1706
Geneva,201818,15,1359
Hamburg,1899160,755,2837
Helsinki,650058,715,1335
Krakow,774839,326,1445
Lisbon,505526,100,4388
Ljubljana,292988,163,531
London,8908081,607,16740
Luxembourg,626108,2586,651
Lyon,513275,48,2477
Madrid,3223334,604,9991
Milan,1404431,182,6530
Munich,1471508,310,2831
Oporto,287591,41,1777
Oslo,693491,481,1219
Paris,2148271,105,15242
Prague,1324277,496,4559
Rome,2860009,1285,9921
Stockholm,975904,188,2664
Vienna,1888776,415,3697
Warsaw,1790658,517,2674
Zurich,415215,88,1643
